claim_id,customer_id,make,accident_area,sex,marital_status,age,fault,policy_type,vehicle_category,vehicle_price_bucket,deductible,driver_rating,days_policy_accident,days_policy_claim,past_number_of_claims,age_of_vehicle,age_of_policyholder,police_report_filed,witness_present,agent_type,number_of_suppliments,address_change_claim,number_of_cars,base_policy,incident_period,fraud_reported
50,50,Pontiac,Urban,Male,Married,59,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,400,4,more than 30,more than 30,more than 4,more than 7,51 to 65,No,No,External,3 to 5,no change,1 vehicle,Collision,1994-Apr,0
51,51,Pontiac,Urban,Male,Married,49,Policy Holder,Sedan - Liability,Sport,30000 to 39000,400,2,more than 30,more than 30,more than 4,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,Liability,1994-May,0
52,52,Pontiac,Urban,Male,Married,27,Policy Holder,Sedan - Liability,Sport,20000 to 29000,500,3,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,3 to 5,2 to 3 years,1 vehicle,Liability,1994-Jun,0
53,53,Honda,Rural,Male,Married,21,Policy Holder,Sport - Collision,Sport,more than 69000,400,4,more than 30,more than 30,none,4 years,26 to 30,No,No,External,3 to 5,no change,1 vehicle,Collision,1994-Jul,1
54,54,Honda,Urban,Male,Married,50,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,400,1,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,3 to 5,no change,1 vehicle,Collision,1994-Jul,1
55,55,Pontiac,Urban,Male,Single,45,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,400,1,more than 30,more than 30,1,7 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,Collision,1994-Jun,0
56,56,Mazda,Urban,Male,Married,49,Third Party,Sedan - All Perils,Sedan,20000 to 29000,400,4,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,3 to 5,no change,1 vehicle,All Perils,1994-Dec,0
57,57,Honda,Urban,Male,Single,30,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,400,4,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,All Perils,1994-Jun,0
58,58,Accura,Urban,Male,Single,37,Policy Holder,Sedan - Collision,Sedan,more than 69000,400,3,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,Collision,1994-Nov,0
59,59,Honda,Rural,Male,Single,0,Policy Holder,Sedan - Liability,Sport,more than 69000,400,4,more than 30,more than 30,none,new,16 to 17,No,No,External,none,no change,1 vehicle,Liability,1994-May,0
60,60,Chevrolet,Urban,Female,Single,27,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,400,4,more than 30,more than 30,none,6 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,Collision,1994-May,0
61,61,Toyota,Urban,Male,Single,30,Policy Holder,Sedan - All Perils,Sedan,30000 to 39000,400,4,more than 30,more than 30,none,5 years,31 to 35,No,No,External,none,no change,1 vehicle,All Perils,1994-Nov,0
62,62,Pontiac,Urban,Male,Married,49,Policy Holder,Utility - Collision,Utility,40000 to 59000,400,4,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,Collision,1994-Sep,0
63,63,Honda,Urban,Male,Single,0,Third Party,Sedan - All Perils,Sedan,more than 69000,400,2,more than 30,more than 30,2 to 4,new,16 to 17,No,No,External,none,no change,1 vehicle,All Perils,1994-Nov,0
64,64,Toyota,Urban,Male,Married,26,Policy Holder,Sedan - Liability,Sport,20000 to 29000,400,3,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,more than 5,4 to 8 years,2 vehicles,Liability,1994-Feb,0
65,65,Pontiac,Urban,Male,Single,48,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,400,1,more than 30,more than 30,none,7 years,41 to 50,No,No,External,none,no change,1 vehicle,Collision,1994-Dec,0
66,66,Mazda,Urban,Male,Single,31,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,400,3,more than 30,more than 30,none,7 years,31 to 35,No,No,External,none,no change,1 vehicle,All Perils,1994-Dec,0
67,67,Mercury,Urban,Male,Single,40,Third Party,Sedan - Collision,Sedan,more than 69000,400,2,more than 30,more than 30,1,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,Collision,1994-Mar,0
68,68,Mazda,Urban,Male,Married,65,Policy Holder,Sedan - Liability,Sport,30000 to 39000,400,1,more than 30,more than 30,2 to 4,more than 7,51 to 65,No,No,External,more than 5,no change,1 vehicle,Liability,1994-Aug,0
69,69,Toyota,Urban,Male,Married,64,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,400,1,more than 30,more than 30,1,more than 7,51 to 65,No,No,External,none,no change,1 vehicle,Collision,1994-Jan,0
70,70,Honda,Urban,Male,Married,55,Policy Holder,Sedan - Liability,Sport,20000 to 29000,400,2,more than 30,more than 30,2 to 4,7 years,41 to 50,No,No,External,more than 5,no change,1 vehicle,Liability,1994-Jan,0
71,71,Honda,Urban,Male,Single,44,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,400,1,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,3 to 5,no change,1 vehicle,Collision,1994-Jan,0
72,72,Mazda,Urban,Male,Married,27,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,400,3,more than 30,more than 30,1,6 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,Collision,1994-Jan,0
73,73,Chevrolet,Urban,Female,Single,28,Third Party,Sedan - Collision,Sedan,20000 to 29000,400,3,15 to 30,more than 30,1,5 years,31 to 35,No,No,External,none,no change,1 vehicle,Collision,1994-Sep,0
74,74,Honda,Urban,Male,Married,47,Third Party,Sedan - Collision,Sedan,20000 to 29000,400,2,more than 30,more than 30,1,more than 7,41 to 50,No,No,External,more than 5,no change,1 vehicle,Collision,1994-Jan,0
75,75,Mazda,Urban,Male,Married,60,Third Party,Sedan - Collision,Sedan,more than 69000,400,3,more than 30,more than 30,more than 4,7 years,51 to 65,No,No,External,more than 5,no change,1 vehicle,Collision,1994-Apr,0
76,76,Ford,Urban,Male,Married,33,Third Party,Sedan - Collision,Sedan,30000 to 39000,400,4,more than 30,more than 30,more than 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,Collision,1994-Aug,0
77,77,Chevrolet,Urban,Male,Married,27,Third Party,Sedan - All Perils,Sedan,20000 to 29000,400,3,more than 30,more than 30,none,6 years,31 to 35,No,No,External,none,no change,1 vehicle,All Perils,1994-Oct,0
78,78,Honda,Urban,Female,Married,47,Third Party,Sport - Collision,Sport,more than 69000,400,3,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,Collision,1994-Feb,0
79,79,Jaguar,Rural,Female,Single,29,Policy Holder,Sedan - Liability,Sport,30000 to 39000,400,1,more than 30,more than 30,2 to 4,5 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,Liability,1994-Feb,0
80,80,Toyota,Urban,Female,Married,33,Third Party,Sedan - Collision,Sedan,30000 to 39000,400,1,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,Collision,1994-Feb,0
81,81,Pontiac,Urban,Male,Married,38,Policy Holder,Sedan - Liability,Sport,20000 to 29000,400,4,more than 30,more than 30,2 to 4,6 years,36 to 40,No,No,External,none,no change,1 vehicle,Liability,1994-Jan,0
82,82,Mazda,Urban,Male,Single,37,Third Party,Sedan - Liability,Sport,20000 to 29000,400,2,more than 30,more than 30,1,7 years,36 to 40,No,No,External,none,no change,1 vehicle,Liability,1994-Jan,0
83,83,Chevrolet,Urban,Male,Married,36,Third Party,Sedan - All Perils,Sedan,more than 69000,400,4,more than 30,more than 30,none,7 years,36 to 40,No,No,External,none,no change,3 to 4,All Perils,1994-Dec,0
84,84,Toyota,Urban,Female,Married,44,Policy Holder,Sedan - Liability,Sport,20000 to 29000,400,4,more than 30,more than 30,none,6 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,Liability,1994-Nov,0
85,85,Honda,Urban,Male,Single,0,Policy Holder,Sedan - Liability,Sport,more than 69000,400,2,more than 30,more than 30,more than 4,new,16 to 17,No,No,External,none,4 to 8 years,2 vehicles,Liability,1994-Dec,0
86,86,Chevrolet,Rural,Male,Married,27,Policy Holder,Utility - Liability,Utility,more than 69000,400,4,more than 30,more than 30,1,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,Liability,1994-Dec,0
87,87,Toyota,Urban,Male,Single,27,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,400,3,more than 30,more than 30,1,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,Collision,1994-May,0
88,88,Mazda,Urban,Male,Single,39,Third Party,Sedan - All Perils,Sedan,20000 to 29000,400,2,more than 30,more than 30,2 to 4,4 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,All Perils,1994-May,0
89,89,Pontiac,Urban,Male,Married,74,Third Party,Sedan - All Perils,Sedan,30000 to 39000,400,4,more than 30,more than 30,none,7 years,over 65,No,No,External,3 to 5,no change,1 vehicle,All Perils,1994-Oct,0
90,90,Honda,Urban,Male,Single,23,Policy Holder,Sedan - Liability,Sport,20000 to 29000,400,2,more than 30,more than 30,2 to 4,4 years,26 to 30,No,No,External,none,no change,1 vehicle,Liability,1994-Oct,0
91,91,Honda,Urban,Female,Single,25,Third Party,Sport - Collision,Sport,more than 69000,400,1,more than 30,more than 30,none,6 years,26 to 30,No,No,External,more than 5,no change,1 vehicle,Collision,1994-Oct,0
92,92,Pontiac,Urban,Male,Single,38,Policy Holder,Sedan - Liability,Sport,20000 to 29000,400,2,more than 30,more than 30,more than 4,7 years,36 to 40,No,No,External,3 to 5,1 year,1 vehicle,Liability,1994-Jan,0
93,93,Honda,Urban,Male,Married,41,Policy Holder,Sedan - All Perils,Sedan,30000 to 39000,400,1,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,All Perils,1994-Jan,0
94,94,Pontiac,Urban,Male,Married,38,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,700,3,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,Collision,1994-Aug,0
95,95,Honda,Urban,Male,Single,34,Policy Holder,Sport - Collision,Sport,more than 69000,400,3,more than 30,more than 30,none,7 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,Collision,1994-Nov,1
96,96,Honda,Urban,Male,Married,61,Third Party,Sedan - Collision,Sedan,30000 to 39000,400,4,more than 30,more than 30,none,more than 7,51 to 65,No,No,External,more than 5,no change,1 vehicle,Collision,1994-May,0
97,97,Toyota,Urban,Male,Married,38,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,400,2,more than 30,more than 30,1,7 years,36 to 40,No,No,External,none,no change,1 vehicle,Collision,1994-Nov,1
98,98,Toyota,Urban,Male,Single,40,Policy Holder,Sedan - All Perils,Sedan,less than 20000,400,4,more than 30,more than 30,1,7 years,36 to 40,No,No,External,none,no change,1 vehicle,All Perils,1994-Jan,0
99,99,Pontiac,Urban,Male,Married,41,Third Party,Sedan - All Perils,Sedan,20000 to 29000,400,4,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,All Perils,1994-Nov,0
100,100,Pontiac,Urban,Male,Married,36,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,400,1,more than 30,more than 30,1,7 years,36 to 40,No,No,External,none,no change,1 vehicle,All Perils,1994-Jan,0
101,101,Chevrolet,Urban,Male,Married,31,Policy Holder,Utility - All Perils,Utility,more than 69000,400,1,more than 30,more than 30,more than 4,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,All Perils,1994-Nov,1
102,102,Pontiac,Urban,Female,Married,35,Third Party,Sedan - All Perils,Sedan,20000 to 29000,400,4,more than 30,more than 30,1,6 years,31 to 35,No,No,External,none,no change,1 vehicle,All Perils,1994-Jan,0
103,103,Ford,Urban,Female,Married,37,Policy Holder,Sedan - All Perils,Sedan,more than 69000,500,2,more than 30,more than 30,2 to 4,6 years,36 to 40,Yes,No,External,3 to 5,no change,1 vehicle,All Perils,1994-Jan,0
104,104,Mazda,Urban,Male,Married,55,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,400,3,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,more than 5,no change,1 vehicle,All Perils,1994-Jan,0
105,105,Pontiac,Urban,Male,Single,31,Third Party,Sedan - All Perils,Sedan,20000 to 29000,400,4,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,All Perils,1994-Jan,0
106,106,Dodge,Urban,Male,Married,28,Policy Holder,Sedan - Liability,Sport,more than 69000,400,1,more than 30,more than 30,none,7 years,31 to 35,No,No,External,1 to 2,4 to 8 years,2 vehicles,Liability,1994-Dec,0
107,107,Mazda,Urban,Male,Married,28,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,400,2,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,none,no change,1 vehicle,Collision,1994-Aug,0
108,108,Pontiac,Urban,Male,Married,44,Third Party,Sedan - All Perils,Sedan,20000 to 29000,400,1,more than 30,more than 30,none,7 years,36 to 40,No,No,External,none,no change,1 vehicle,All Perils,1994-Nov,0
109,109,Chevrolet,Urban,Male,Married,47,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,400,1,more than 30,more than 30,1,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,All Perils,1994-Jun,0
110,110,Honda,Urban,Male,Married,40,Policy Holder,Sedan - Liability,Sport,20000 to 29000,400,4,more than 30,more than 30,none,6 years,36 to 40,No,No,External,none,no change,1 vehicle,Liability,1994-Mar,0
111,111,Toyota,Urban,Male,Single,23,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,400,2,more than 30,more than 30,2 to 4,5 years,26 to 30,No,No,External,none,no change,1 vehicle,Collision,1994-May,0
112,112,Pontiac,Urban,Male,Single,31,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,400,3,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,All Perils,1994-May,0
113,113,Honda,Urban,Male,Married,35,Third Party,Sedan - All Perils,Sedan,20000 to 29000,400,1,more than 30,more than 30,none,6 years,31 to 35,No,No,External,none,no change,1 vehicle,All Perils,1994-Nov,0
114,114,Accura,Rural,Male,Married,56,Policy Holder,Utility - All Perils,Utility,more than 69000,400,2,more than 30,more than 30,none,more than 7,51 to 65,No,No,External,none,no change,1 vehicle,All Perils,1994-Nov,1
115,115,Chevrolet,Urban,Male,Married,50,Third Party,Sedan - Collision,Sedan,20000 to 29000,400,3,more than 30,more than 30,1,more than 7,41 to 50,No,No,External,more than 5,no change,1 vehicle,Collision,1994-Dec,0
116,116,Honda,Urban,Male,Single,16,Third Party,Sport - Collision,Sport,more than 69000,400,1,more than 30,more than 30,2 to 4,4 years,18 to 20,No,No,External,3 to 5,no change,1 vehicle,Collision,1994-Dec,0
117,117,Pontiac,Urban,Male,Married,32,Third Party,Sedan - Collision,Sedan,30000 to 39000,400,2,more than 30,more than 30,1,7 years,31 to 35,No,Yes,External,more than 5,no change,1 vehicle,Collision,1994-Nov,0
118,118,Pontiac,Urban,Male,Single,28,Policy Holder,Sedan - Liability,Sport,20000 to 29000,400,3,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,Liability,1994-Aug,0
119,119,Mazda,Urban,Male,Single,68,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,400,3,more than 30,more than 30,2 to 4,5 years,over 65,No,No,External,none,no change,1 vehicle,All Perils,1994-Nov,1
120,120,Honda,Rural,Male,Single,0,Policy Holder,Sedan - All Perils,Sedan,more than 69000,400,3,more than 30,more than 30,none,new,16 to 17,No,No,External,none,no change,1 vehicle,All Perils,1994-Dec,1
121,121,Honda,Rural,Male,Single,0,Policy Holder,Sedan - All Perils,Sedan,more than 69000,400,3,more than 30,more than 30,none,new,16 to 17,No,No,External,none,no change,1 vehicle,All Perils,1994-Feb,0
122,122,Honda,Rural,Female,Married,18,Third Party,Sport - Collision,Sport,more than 69000,400,4,more than 30,more than 30,none,2 years,21 to 25,No,No,External,1 to 2,no change,1 vehicle,Collision,1994-Oct,0
123,123,Pontiac,Urban,Male,Single,30,Policy Holder,Sedan - Collision,Sedan,more than 69000,400,1,more than 30,more than 30,more than 4,6 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,Collision,1994-Jun,0
124,124,Honda,Urban,Male,Married,51,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,400,4,more than 30,more than 30,more than 4,more than 7,41 to 50,No,No,External,none,no change,3 to 4,Collision,1994-Apr,0
125,125,Toyota,Urban,Male,Single,22,Third Party,Sedan - All Perils,Sedan,30000 to 39000,400,3,more than 30,more than 30,none,6 years,26 to 30,No,No,External,3 to 5,no change,1 vehicle,All Perils,1994-Feb,0
